time,open,high,low,close
2010-06-14 20:00:00,1221.05,1236.65,1219.7,1233.95
2010-06-15 20:00:00,1233.9,1237.78,1226.85,1228.98
2010-06-16 20:00:00,1229.0,1251.03,1228.9,1244.83
2010-06-17 20:00:00,1244.75,1262.18,1241.58,1255.63
2010-06-20 20:00:00,1259.05,1265.05,1230.6,1233.53
2010-06-21 20:00:00,1233.55,1242.63,1231.55,1239.85
2010-06-22 20:00:00,1239.8,1246.25,1224.6,1237.15
2010-06-23 20:00:00,1237.2,1248.33,1227.63,1243.23
2010-06-24 20:00:00,1243.2,1258.2,1240.95,1254.48
2010-06-27 20:00:00,1253.95,1262.54,1235.55,1238.75
2010-06-28 20:00:00,1238.8,1244.98,1227.15,1240.4
2010-06-29 20:00:00,1240.38,1247.49,1234.55,1242.08
2010-06-30 20:00:00,1242.13,1243.74,1196.38,1198.78
2010-07-01 20:00:00,1198.8,1213.23,1198.25,1211.15
2010-07-04 20:00:00,1211.6,1214.35,1205.81,1208.65
2010-07-05 20:00:00,1208.45,1213.54,1189.15,1192.5
2010-07-06 20:00:00,1192.48,1203.85,1184.79,1202.35
2010-07-07 20:00:00,1202.4,1207.8,1187.3,1197.85
2010-07-08 20:00:00,1197.9,1213.6,1194.33,1209.6
2010-07-11 20:00:00,1211.45,1212.55,1196.2,1196.6
2010-07-12 20:00:00,1196.68,1217.78,1196.0,1212.14
2010-07-13 20:00:00,1212.16,1217.88,1202.5,1208.08
2010-07-14 20:00:00,1208.13,1217.15,1203.63,1208.05
2010-07-15 20:00:00,1208.03,1210.7,1185.98,1192.65
2010-07-18 20:00:00,1193.6,1194.9,1177.38,1182.7
2010-07-19 20:00:00,1182.68,1193.65,1175.55,1191.88
2010-07-20 20:00:00,1191.85,1197.9,1183.28,1184.7
2010-07-21 20:00:00,1184.65,1201.08,1181.03,1194.73
2010-07-22 20:00:00,1194.78,1203.85,1183.99,1187.18
2010-07-25 20:00:00,1187.6,1194.53,1179.7,1183.38
2010-07-26 20:00:00,1183.33,1186.95,1158.0,1161.5
2010-07-27 20:00:00,1161.4,1165.93,1156.85,1163.35
2010-07-28 20:00:00,1163.28,1169.4,1159.33,1168.08
2010-07-29 20:00:00,1168.05,1183.5,1165.73,1180.7
2010-08-01 20:00:00,1180.25,1190.3,1174.38,1182.62
2010-08-02 20:00:00,1182.67,1190.54,1179.32,1185.94
2010-08-03 20:00:00,1185.92,1202.84,1185.62,1194.78
2010-08-04 20:00:00,1194.81,1199.69,1189.8,1194.75
2010-08-05 20:00:00,1194.72,1210.82,1192.3,1205.16
2010-08-08 20:00:00,1204.1,1209.72,1198.9,1201.15
2010-08-09 20:00:00,1201.12,1207.37,1190.57,1204.04
2010-08-10 20:00:00,1204.07,1207.87,1192.3,1197.85
2010-08-11 20:00:00,1197.87,1215.23,1197.25,1213.64
2010-08-12 20:00:00,1213.55,1217.45,1210.55,1214.72
2010-08-15 20:00:00,1214.7,1227.3,1213.85,1224.96
2010-08-16 20:00:00,1225.02,1228.94,1222.4,1224.64
2010-08-17 20:00:00,1224.61,1232.37,1217.35,1229.2
2010-08-18 20:00:00,1229.23,1237.3,1227.7,1231.96
2010-08-19 20:00:00,1231.94,1233.12,1221.95,1227.3
2010-08-22 20:00:00,1226.7,1231.86,1221.74,1225.9
2010-08-23 20:00:00,1225.8,1235.4,1210.12,1230.4
2010-08-24 20:00:00,1230.35,1241.3,1228.95,1239.85
2010-08-25 20:00:00,1239.75,1244.05,1233.95,1237.35
2010-08-26 20:00:00,1237.45,1242.15,1231.84,1237.92
2010-08-29 20:00:00,1236.7,1238.25,1233.23,1236.68
2010-08-30 20:00:00,1236.7,1249.75,1231.7,1247.2
2010-08-31 20:00:00,1247.23,1254.58,1242.25,1244.03
2010-09-01 20:00:00,1244.08,1253.1,1243.35,1250.7
2010-09-02 20:00:00,1250.65,1253.65,1237.7,1246.5
2010-09-05 20:00:00,1247.35,1251.05,1246.65,1249.75
2010-09-06 20:00:00,1249.95,1259.55,1244.55,1255.3
2010-09-07 20:00:00,1255.35,1262.25,1253.18,1254.65
2010-09-08 20:00:00,1254.7,1258.65,1242.03,1243.48
2010-09-09 20:00:00,1243.55,1251.0,1236.43,1245.53
2010-09-12 20:00:00,1247.05,1249.05,1240.85,1245.38
2010-09-13 20:00:00,1245.45,1274.75,1244.68,1267.98
2010-09-14 20:00:00,1268.03,1271.8,1263.1,1267.9
2010-09-15 20:00:00,1267.88,1277.71,1264.68,1275.0
2010-09-16 20:00:00,1275.03,1282.75,1271.87,1274.6
