time,open,high,low,close
2025-09-11 07:15:00,3629.41,3630.38,3628.91,3629.32
2025-09-11 07:30:00,3629.3,3629.51,3626.2,3626.72
2025-09-11 07:45:00,3626.72,3630.5,3625.49,3626.25
2025-09-11 08:00:00,3626.25,3626.25,3618.66,3618.78
2025-09-11 08:15:00,3618.79,3619.46,3614.2,3617.21
2025-09-11 08:30:00,3617.08,3620.96,3616.92,3619.42
2025-09-11 08:45:00,3619.44,3622.78,3619.02,3621.91
2025-09-11 09:00:00,3621.93,3622.47,3619.75,3622.01
2025-09-11 09:15:00,3621.98,3623.81,3620.66,3621.09
2025-09-11 09:30:00,3621.16,3624.95,3619.92,3622.51
2025-09-11 09:45:00,3622.51,3623.98,3621.06,3621.96
2025-09-11 10:00:00,3621.96,3622.21,3619.71,3620.49
2025-09-11 10:15:00,3620.49,3621.54,3619.92,3621.27
2025-09-11 10:30:00,3621.26,3621.46,3615.41,3615.73
2025-09-11 10:45:00,3615.75,3618.26,3615.63,3616.84
2025-09-11 11:00:00,3616.92,3620.46,3616.52,3619.94
2025-09-11 11:15:00,3619.97,3626.33,3617.58,3623.84
2025-09-11 11:30:00,3623.83,3643.98,3612.73,3637.16
2025-09-11 11:45:00,3637.06,3637.31,3626.18,3629.0
2025-09-11 12:00:00,3629.48,3637.12,3627.8,3634.15
2025-09-11 12:15:00,3634.15,3634.39,3620.61,3621.46
2025-09-11 12:30:00,3621.85,3630.68,3618.4,3628.81
2025-09-11 12:45:00,3628.87,3633.48,3626.77,3630.26
2025-09-11 13:00:00,3630.14,3634.04,3626.16,3633.25
2025-09-11 13:15:00,3633.25,3637.88,3632.67,3634.98
2025-09-11 13:30:00,3635.22,3635.46,3626.96,3626.96
2025-09-11 13:45:00,3626.97,3630.79,3626.97,3629.56
2025-09-11 14:00:00,3629.59,3634.04,3629.59,3634.03
2025-09-11 14:15:00,3634.04,3639.05,3633.7,3636.72
2025-09-11 14:30:00,3636.72,3638.1,3633.56,3634.58
2025-09-11 14:45:00,3634.63,3634.63,3631.33,3633.13
2025-09-11 15:00:00,3633.14,3642.01,3633.14,3640.17
2025-09-11 15:15:00,3640.23,3641.09,3636.32,3637.26
2025-09-11 15:30:00,3637.28,3639.17,3634.67,3635.48
2025-09-11 15:45:00,3635.51,3637.4,3633.73,3636.22
2025-09-11 16:00:00,3636.33,3636.61,3631.87,3632.82
2025-09-11 16:15:00,3632.82,3636.13,3632.82,3634.81
2025-09-11 16:30:00,3634.81,3636.6,3634.27,3634.8
2025-09-11 16:45:00,3634.78,3636.26,3633.59,3635.09
2025-09-11 17:00:00,3635.17,3637.13,3634.04,3634.45
2025-09-11 17:15:00,3634.45,3634.84,3631.96,3632.12
2025-09-11 17:30:00,3632.14,3632.9,3630.4,3632.14
2025-09-11 17:45:00,3632.12,3633.58,3631.8,3632.35
2025-09-11 18:00:00,3632.35,3636.15,3632.2,3634.42
2025-09-11 18:15:00,3634.41,3637.11,3633.75,3634.79
2025-09-11 18:30:00,3634.79,3637.46,3634.38,3636.51
2025-09-11 18:45:00,3636.57,3637.54,3635.92,3637.02
2025-09-11 19:00:00,3636.92,3637.72,3635.26,3635.93
2025-09-11 19:15:00,3635.93,3636.43,3634.87,3635.18
2025-09-11 19:30:00,3635.06,3635.38,3633.24,3633.92
2025-09-11 19:45:00,3633.91,3634.55,3633.14,3634.06
2025-09-11 21:00:00,3633.24,3636.9,3633.24,3636.9
2025-09-11 21:15:00,3636.9,3638.3,3636.43,3637.14
2025-09-11 21:30:00,3637.15,3637.15,3635.13,3635.18
2025-09-11 21:45:00,3635.14,3635.5,3633.16,3634.88
2025-09-11 22:00:00,3634.88,3636.14,3633.34,3633.95
2025-09-11 22:15:00,3633.95,3635.42,3633.59,3635.26
2025-09-11 22:30:00,3635.26,3635.79,3634.25,3634.98
2025-09-11 22:45:00,3635.01,3635.01,3631.55,3631.87
2025-09-11 23:00:00,3631.93,3633.84,3631.65,3633.34
2025-09-11 23:15:00,3633.43,3633.85,3630.81,3631.26
2025-09-11 23:30:00,3631.33,3633.7,3630.53,3633.7
2025-09-11 23:45:00,3633.75,3638.0,3633.75,3636.51
2025-09-12 00:00:00,3636.64,3643.97,3636.52,3642.9
2025-09-12 00:15:00,3642.86,3643.41,3638.94,3642.72
2025-09-12 00:30:00,3642.72,3646.76,3642.51,3645.7
2025-09-12 00:45:00,3645.71,3647.56,3643.93,3646.37
2025-09-12 01:00:00,3646.37,3649.74,3644.93,3647.44
2025-09-12 01:15:00,3647.55,3650.21,3647.16,3649.92
2025-09-12 01:30:00,3649.89,3650.52,3647.13,3647.7
2025-09-12 01:45:00,3647.71,3650.93,3646.14,3648.99
2025-09-12 02:00:00,3648.98,3650.43,3646.62,3650.1
2025-09-12 02:15:00,3650.15,3652.42,3649.4,3650.66
2025-09-12 02:30:00,3650.44,3651.83,3650.3,3651.33
2025-09-12 02:45:00,3651.33,3653.23,3650.47,3652.96
2025-09-12 03:00:00,3652.96,3654.3,3651.52,3653.45
2025-09-12 03:15:00,3653.45,3654.89,3653.05,3654.7
2025-09-12 03:30:00,3654.7,3655.45,3653.8,3654.66
2025-09-12 03:45:00,3654.66,3656.12,3654.2,3654.95
2025-09-12 04:00:00,3654.95,3656.3,3653.93,3656.06
2025-09-12 04:15:00,3656.05,3656.67,3652.84,3652.95
2025-09-12 04:30:00,3652.9,3655.8,3652.14,3654.89
2025-09-12 04:45:00,3654.91,3655.2,3652.06,3653.16
2025-09-12 05:00:00,3653.22,3653.71,3651.26,3653.33
2025-09-12 05:15:00,3653.33,3654.17,3649.4,3650.86
2025-09-12 05:30:00,3650.91,3652.43,3648.53,3649.48
2025-09-12 05:45:00,3649.48,3650.94,3648.33,3650.54
2025-09-12 06:00:00,3650.63,3653.88,3649.5,3652.51
2025-09-12 06:15:00,3652.52,3653.15,3650.57,3652.62
2025-09-12 06:30:00,3652.62,3652.62,3648.16,3648.45
2025-09-12 06:45:00,3648.46,3649.89,3647.84,3648.4
2025-09-12 07:00:00,3648.41,3651.27,3643.02,3643.62
2025-09-12 07:15:00,3643.53,3646.02,3642.7,3645.19
2025-09-12 07:30:00,3645.19,3645.75,3643.35,3645.07
2025-09-12 07:45:00,3645.07,3646.18,3639.73,3641.1
2025-09-12 08:00:00,3641.03,3645.51,3637.71,3639.65
2025-09-12 08:15:00,3639.65,3646.43,3639.59,3646.3
2025-09-12 08:30:00,3646.1,3647.06,3642.72,3644.66
2025-09-12 08:45:00,3644.6,3647.07,3643.84,3646.56
2025-09-12 09:00:00,3646.57,3648.21,3646.32,3648.13
2025-09-12 09:15:00,3648.13,3651.5,3647.34,3650.89
2025-09-12 09:30:00,3650.89,3651.21,3649.39,3649.8
2025-09-12 09:45:00,3649.75,3652.14,3649.02,3651.24
2025-09-12 10:00:00,3651.24,3652.08,3649.09,3649.64
2025-09-12 10:15:00,3649.7,3651.43,3647.92,3648.31
2025-09-12 10:30:00,3648.35,3649.31,3647.27,3648.14
2025-09-12 10:45:00,3648.18,3649.45,3646.86,3647.06
2025-09-12 11:00:00,3647.09,3649.0,3644.28,3645.98
2025-09-12 11:15:00,3645.97,3647.32,3640.12,3642.55
2025-09-12 11:30:00,3642.57,3643.93,3638.32,3638.99
2025-09-12 11:45:00,3638.97,3646.0,3638.32,3645.45
2025-09-12 12:00:00,3645.55,3650.11,3643.29,3649.29
2025-09-12 12:15:00,3649.32,3650.71,3647.74,3648.88
2025-09-12 12:30:00,3648.43,3652.54,3646.64,3651.01
2025-09-12 12:45:00,3651.02,3652.59,3646.71,3650.5
2025-09-12 13:00:00,3650.39,3653.32,3649.54,3652.12
2025-09-12 13:15:00,3652.12,3654.31,3651.57,3652.74
2025-09-12 13:30:00,3652.93,3653.56,3648.61,3649.92
2025-09-12 13:45:00,3649.86,3650.17,3647.39,3648.04
2025-09-12 14:00:00,3648.12,3648.32,3641.82,3644.14
2025-09-12 14:15:00,3644.07,3645.87,3642.45,3644.43
2025-09-12 14:30:00,3644.43,3647.26,3644.3,3646.91
2025-09-12 14:45:00,3646.93,3647.04,3643.48,3644.44
2025-09-12 15:00:00,3644.47,3645.32,3642.53,3643.68
2025-09-12 15:15:00,3643.68,3647.08,3643.63,3646.8
2025-09-12 15:30:00,3646.8,3647.55,3645.83,3647.31
2025-09-12 15:45:00,3647.42,3649.66,3647.32,3649.24
2025-09-12 16:00:00,3649.24,3650.32,3648.32,3649.98
2025-09-12 16:15:00,3649.84,3650.74,3647.51,3647.86
2025-09-12 16:30:00,3647.91,3650.15,3647.7,3649.43
2025-09-12 16:45:00,3649.44,3649.98,3648.56,3648.8
2025-09-12 17:00:00,3648.8,3648.94,3647.02,3648.53
2025-09-12 17:15:00,3648.53,3649.11,3647.64,3648.1
2025-09-12 17:30:00,3648.05,3649.52,3647.73,3648.85
2025-09-12 17:45:00,3648.9,3649.09,3648.34,3648.44
2025-09-12 18:00:00,3648.43,3648.48,3646.74,3647.2
2025-09-12 18:15:00,3647.2,3647.57,3645.97,3646.06
2025-09-12 18:30:00,3646.06,3646.65,3644.83,3645.86
2025-09-12 18:45:00,3645.87,3646.86,3643.64,3644.24
2025-09-12 19:00:00,3644.19,3645.54,3641.83,3642.19
2025-09-12 19:15:00,3642.2,3643.16,3641.75,3642.71
2025-09-12 19:30:00,3642.7,3642.88,3641.27,3642.26
2025-09-12 19:45:00,3642.26,3643.84,3641.95,3643.34
2025-09-14 21:00:00,3643.68,3646.28,3643.4,3643.79
2025-09-14 21:15:00,3643.79,3644.18,3639.88,3642.54
2025-09-14 21:30:00,3642.62,3642.83,3641.3,3641.38
2025-09-14 21:45:00,3641.38,3642.35,3640.15,3642.22
2025-09-14 22:00:00,3642.25,3642.25,3639.14,3639.82
2025-09-14 22:15:00,3639.8,3640.02,3637.69,3639.25
2025-09-14 22:30:00,3639.3,3639.48,3636.88,3637.81
2025-09-14 22:45:00,3637.75,3638.51,3637.24,3638.19
2025-09-14 23:00:00,3638.19,3641.74,3634.89,3641.3
